Food,ingr1,ingr2,ingr3,ingr4,ingr5,ingr6,ingr7,ingr8,ingr9,ingr10,ingr11,ingr12,ingr13,ingr14,ingr15,ingr16,ingr17,ingr18,ingr19,ingr20,Origin
Mie_kangkung,Noodle,Soy_sauce,Mushroom,Bakso,Ipomoea_aquatica,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kodi_Gudla_Pulusu,Tamarind,Boiled_egg,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Urap,Coconut,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Osmania_Biscuit,Flour,Milk,Sugar,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shikashika,Ice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Broa,Wheat,Rye,Bakers_yeast,Cornmeal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Totopo,Maize,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gizzada,Coconut,Nutmeg,Sugar,Vanilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pastisset,Flour,Anisette,Olive_oil,Muscat_(grape),Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Anzac_biscuit,Butter,Flour,Desiccation,Rolled_oats,Sugar,Golden_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chilaquiles,Refried_beans,Mole_sauce,Salsa_(sauce),Chicken_(food),Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Enchilada,Chili_pepper,Meat,Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Escalivada,Bell_pepper,Olive_oil,Onion,Tomato,Eggplant,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ovos_Moles_de_Aveiro,Sugar,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Paella,Chicken_(food),White_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pavlova_(food),Fruit,Sucrose,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tostada_(tortilla),Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cucumber_soup,Cucumber,Pickled_cucumber,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tortell,Marzipan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lassi,Yogurt,Cream,Spice,Water,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Macaroni_and_cheese,Butter,Flour,Macaroni,Milk,Parmesan,Cheddar_sauce,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Syrniki,Flour,Sugar,Raisin,Quark_(dairy_product),Egg_(food),Vanilla_extract,Flour,Sugar,Raisin,Quark_(dairy_product),Egg_(food),Vanilla_extract,Flour,Sugar,Raisin,Quark_(dairy_product),Egg_(food),Vanilla_extract,?,?,Other_region
Guacamole,Avocado,Sea_salt,Lime_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Koeksister,Sugar,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pelmeni,Beef,Ground_meat,Dough,Egg_(food),Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Harira,Flour,Chicken,Meat,Olive_oil,Rice,Chickpea,Lentil,Onion,Tomato,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,Other_region
Cepelinai,Potato,Cottage_cheese,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chistorra,Mincing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kheer,Cardamom,Milk,Rice,Almond,Pistachio,Saffron,Cardamom,Milk,Rice,Almond,Pistachio,Saffron,?,?,?,?,?,?,?,?,Other_region
Kifli,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tompouce,Custard,Puff_pastry,Icing_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Puttu,Coconut,Rice_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Qeema,Meat,Pea,Potato,Meat,Pea,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gibanica,Feta,Sirene,Egg_(food),Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Caesar_salad,Anchovy,Olive_oil,Worcestershire_sauce,Parmesan,Crouton,Black_pepper,Egg_(food),Romaine_lettuce,Lemon,?,?,?,?,?,?,?,?,?,?,?,Other_region
Couscous,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gazpacho,Water,Garlic,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Istrian_stew,Bacon,Sauerkraut,Bean,Spare_ribs,Garlic,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bak_kut_teh,Cinnamon,Clove,Fennel,Garlic,Broth,Pork_ribs,Angelica_sinensis,Illicium_verum,Cinnamon,Clove,Fennel,Garlic,Broth,Pork_ribs,Angelica_sinensis,Illicium_verum,?,?,?,?,Other_region
Czernina,Chicken,Pig,Broth,Rabbit,Blood_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Haleem,Meat,Wheat,Barley,Lentil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hornazo,Flour,Chorizo,Pork,Boiled_egg,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Poffertjes,Buckwheat,Batter_(cooking),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Popiah,Turnip,Chinese_sausage,Carrot,Lettuce,Bean_sprout,Egg_(food),Green_bean,Pachyrhizus_erosus,Tofu,Turnip,Chinese_sausage,Carrot,Lettuce,Bean_sprout,Egg_(food),Green_bean,Pachyrhizus_erosus,Tofu,?,?,Other_region
Tsampa,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Vla,Corn_starch,Milk,Sugar,Vanilla,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Belekoy,Flour,Sugar,Vanilla,Sesame,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Boquerones_en_vinagre,Anchovy,Olive_oil,Vinegar,Garlic,Parsley,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lobster_stew,Lobster,Sofrito,Garlic,Onion,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Siemieniotka,Seed,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Yemas_de_Santa_Teresa,Cinnamon,Syrup,Lemon,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kutsinta,Coconut,Rice_flour,Brown_sugar,Lye,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maafe,Cabbage,Beef,Meat,Garlic,Onion,Tomato,Leaf_vegetable,Chicken_(food),List_of_root_vegetables,Peanut,?,?,?,?,?,?,?,?,?,?,Other_region
Soup_Number_Five,Bull,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cocol,Milk,Egg_(food),Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hachee,Bird,Meat,Fish,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Philippine_adobo,Soy_sauce,Bay_leaf,Chicken,Meat,Vinegar,Garlic,Pork,Black_pepper,Cooking_oil,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ollada,Kidney_bean,Legume,Carrot,Vegetable,Embotit,Artichoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bolo_Rei,Raisin,Dough,Nut_(fruit),Candied_fruit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Styrian_sour_soup,Thyme,Vinegar,Garlic,Onion,Potato,Pork,Black_pepper,Marjoram,Parsley,?,?,?,?,?,?,?,?,?,?,?,Other_region
Talunan,Fish_sauce,Meat,Vinegar,Onion,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tortita_negra,Butter,Flour,Milk,Salt,Brown_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Entomatada,Tomato_sauce,Garlic,Onion,Oregano,Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hainanese_chicken_rice,Chicken,Chicken,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kopytka,Bacon,Flour,Cheese,Onion,Potato,Bacon,Flour,Cheese,Onion,Potato,?,?,?,?,?,?,?,?,?,?,Other_region
Vetkoek,Syrup,Honey,Beef,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Natillas,Milk,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bobotie,Ground_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Capirotada,Cinnamon,Syrup,Milk,Nutmeg,Sugar,Water,Raisin,Walnut,Panela,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dopiaza,Curry,Meat,Onion,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Escudella_i_carn_dolla,Meatball,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Garudiya,Tuna,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kare-kare,Oxtail,Peanut_sauce,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rewena_bread,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sklandrausis,Caraway,Carrot,Potato,Rye,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stroopwafel,Butter,Cinnamon,Flour,Milk,Egg_(food),Brown_sugar,Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tembleque,Cinnamon,Corn_starch,Milk,Nutmeg,Spice,Sugar,Vanilla,Coconut_cream,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lidah,Butter,Sugar,Powdered_milk,Cooking_oil,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pinca,Flour,Raisin,Zest_(ingredient),Bakers_yeast,Flour,Raisin,Zest_(ingredient),Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Apple_butter,Apple,Cider,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kluski,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Queso_flameado,Chorizo,Cheese,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cecina_(meat),Beef,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ngome_(bread),Millet,Water,Vegetable_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Paska_(bread),Butter,Milk,Sugar,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Torta_de_gazpacho,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Carne_asada,Beef,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Isi_ewu,Goat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tortillitas_de_camarones,Gram_flour,Shrimp,Onion,Parsley,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pastel_de_nata,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maghaz,Brain_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Afghan_biscuit,Butter,Flour,Corn_flakes,Chocolate,Sugar,Walnut,Cocoa_solids,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rassolnik,Kidney,Pearl_barley,Pickled_cucumber,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nasi_ambeng,Rice_vermicelli,Salt-cured_meat,Frikadeller,Opor_ayam,Sambal,Tempeh,Rempeyek,Urap,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tomato_bredie,Cardamom,Cinnamon,Clove,Ginger,Chili_powder,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Crab_in_oyster_sauce,Crab,Ginger,Scallion,Garlic,Oyster_sauce,Crab,Ginger,Scallion,Garlic,Oyster_sauce,?,?,?,?,?,?,?,?,?,?,Other_region
Ginataan,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kochi_(kuih),Glutinous_rice,Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mas_huni,Tuna,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Alivenci,Butter,Milk,Cream_cheese,Egg_(food),Cornmeal,Smântână,Butter,Milk,Cream_cheese,Egg_(food),Cornmeal,Smântână,?,?,?,?,?,?,?,?,Other_region
Sausage_sizzle,Sausage,Sliced_bread,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Soyo_(Paraguay),Meat,Spice,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zakuski,Salad,Open_sandwich,Pirozhki,Caviar,Cheese,Bread,Cold_cut,Pickling,Cured_fish,Pihtije,Canapé,?,?,?,?,?,?,?,?,?,Other_region
Moorkop,Chocolate,Profiterole,Whipped_cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Khebz,Flour,Water,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tarasari,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baye_baye,Coconut,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ginanggang,Butter,Banana,Sugar,Margarine,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Amplang,Tapioca,Spice,Wahoo,Spanish_mackerel,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gajar_Ka_Halwa,Milk,Ghee,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Taco,Cheese,Meat,Vegetable,Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Balushahi,Clarified_butter,Sugar,Maida_flour,Clarified_butter,Sugar,Maida_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mofongo,Cooking_plantain,Olive_oil,Chicharrón,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mango_pudding,Agar,Gelatin,Sugar,Mango,Evaporated_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tiger_bread,Flour,Rice,Sesame_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zoervleis,Gingerbread,Meat,Vinegar,Apple_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Claypot_chicken_rice,Chinese_sausage,Chicken,Rice,Chinese_sausage,Chicken,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kibbeh_nayyeh,Bulgur,Beef,Spice,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maqluba,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Boerenjongens,Brandy,Raisin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bulalo,Cabbage,Fish_sauce,Beef,Garlic,Maize,Onion,Potato,Chinese_cabbage,Lemon,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lontong,Banana_leaf,Banana_leaf,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Obara,Human_gastrointestinal_tract,Meat,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cincin,Sugar,Water,Cyrtostachys_renda,Rice_flour,Cooking_oil,Palm_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fish_soup_bee_hoon,Mackerel,Rice_vermicelli,Pomfret,Milk,Yam_(vegetable),Fish_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stoemp,Potato,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hinava,Birds_eye_chili,Fish,Red_onion,Salt,Lime_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Piaya_(food),Flour,Muscovado,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cuajada,Milk,Sheep_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pira_caldo,Bell_pepper,Fat,Onion,Tomato,Fish,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Quesito,Puff_pastry,Cheese,Sugar,Vanilla,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Russian_candy,Cream,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cameo_Creme,Coconut,Flour,Sugar,Cocoa_solids,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Curry_puff,Curry,Potato,Chicken_(food),Curry,Potato,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
King_Kong_milk_candy,Butter,Flour,Milk,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Otak-otak,Fish_as_food,Fish_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stip_(dish),Bacon,Syrup,Buckwheat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Portuguese_sweet_bread,Butter,Flour,Milk,Sugar,Yeast,Salt,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chimichanga,Cheese,Rice,Tortilla,Adobada,Machaca,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Papo-de-anjo,Sugar,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Curry_Mee,Chili_pepper,Noodle,Rice_vermicelli,Mentha,Sambal,Coconut_milk,Egg_(food),Chicken_(food),Cuttlefish,Tofu,Prawn,?,?,?,?,?,?,?,?,?,Other_region
Kaymak,Water_buffalo,Milk,Water_buffalo,Milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tepache,Pineapple,Panela,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Trinxat,Cabbage,Potato,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pljeskavica,Beef,Veal,Onion,Pork,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bicol_Express,Chili_pepper,Garlic,Onion,Pork,Coconut_milk,Stockfish,Shrimp_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fish_cracker,Spice,Fish,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cocadas,Coconut,Condensed_milk,Sugar,Coconut_milk,Egg_(food),Food_coloring,Brown_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Espetada,Meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Taho,Sago,Brown_sugar,Tofu,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Roze_koek,Cake,Fondant_icing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Serbian_salad,Feta,Olive_oil,Cucumber,Onion,Tomato,Feferon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nasi_lemak,Cucumber,Coconut_milk,Cucumber,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Roti_canai,Flour,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Churro,Flour,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fabada_asturiana,Phaseolus_vulgaris,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Samosa,Chili_pepper,Cheese,Beef,Meat,Spice,Onion,Pea,Potato,Maida_flour,?,?,?,?,?,?,?,?,?,?,?,Other_region
Empanada,Pastry,Stuffing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Korma,Yogurt,Cream,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Feijoada,Beef,Pork,Phaseolus_vulgaris,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gudeg,Chicken,Jackfruit,Coconut_milk,Tempeh,Egg_(food),Palm_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Moussaka,Meat,Potato,Eggplant,Meat,Potato,Eggplant,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Birria,Lamb_and_mutton,Goat_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Aloo_tikki,Onion,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Covrigi,Flour,Water,Poppy_seed,Sesame,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kinilnat,Cabbage,Fern,Taro,Sesbania_grandiflora,Winged_bean,Momordica_charantia,Green_bean,Moringa_oleifera,Vegetable,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kotlet_schabowy,Flour,Turkey_(bird),Chicken,Spice,Lard,Pork,Egg_(food),Oil,Bread_crumbs,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ruske_kape,Coconut,Chocolate,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cajeta,Goat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pandesal,Flour,Sugar,Egg_(food),Bakers_yeast,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pinchitos,Pork,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Torta_Tre_Monti,Chocolate,Wafer,Hazelnut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bubur_kacang_hijau,Sucrose,Coconut_milk,Mung_bean,Palm_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chipa,Cassava,Cheese,Maize,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Phat_si-io,Kai-lan,Beef,Shahe_fen,Pork,Egg_(food),Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rookworst,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Xuixo,Sugar,Crème_brûlée,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Salmorejo,Bread,Vinegar,Garlic,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Esgarrat,Bell_pepper,Olive_oil,Garlic,Dried_and_salted_cod,Olive,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Krentjebrij,Berry,Honey,Sugar,Water,Blackcurrant,Redcurrant,Pearl_barley,Bilberry,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Magiun_of_Topoloveni,Plum,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Olla_podrida,Meat,Vegetable,Pork_and_beans,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Caparrones,Kidney_bean,Chorizo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mojama,Tuna,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shami_kebab,Spice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ukha,Potato,Salmon_as_food,Leek,Fish_as_food,List_of_root_vegetables,Cod_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ambuyat,Sago,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Espasol,Coconut,Rice_flour,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Khichra,Meat,Spice,Lentil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Vori_vori,Cheese,Broth,Stock_(food),Cornmeal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Funkaso,Butter,Millet,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Callos,Bell_pepper,Tripe,Chorizo,Chickpea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ube_halaya,Butter,Condensed_milk,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Batchoy,Noodle,Shrimp,Beef,Chicken,Pork,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lard_na,Broccoli,Beef,Shahe_fen,Pork,Volvariella_volvacea,Chicken_(food),Vegetable,Tofu,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sfouf,Pine_nut,Sugar,Turmeric,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sour_rye_soup,Bacon,Sausage,Ham,Fermentation_in_food_processing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Soused_herring,Herring,Spice,Sugar,Tea,Vinegar,Wine,Herb,Cider,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Amandine_(dessert),Chocolate,Sponge_cake,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baked_milk,Milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nachos,Processed_cheese,Tortilla_chip,Salsa_(sauce),Grated_cheese,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Quesadilla,Refried_beans,Cheese,Meat,Avocado,Tortilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mas_riha,Tuna,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
